<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20140313,013700,1.3909,1.3909,1.3908,1.3908,4
EURUSD,20140313,013800,1.3908,1.3909,1.3908,1.3909,4
EURUSD,20140313,013900,1.3909,1.3909,1.3909,1.3909,4
EURUSD,20140313,014000,1.3909,1.3909,1.3909,1.3909,4
EURUSD,20140313,014100,1.3909,1.3909,1.3909,1.3909,4
EURUSD,20140313,014200,1.3909,1.3909,1.3908,1.3908,4
EURUSD,20140313,014300,1.3908,1.3908,1.3908,1.3908,4
EURUSD,20140313,014400,1.3908,1.3909,1.3908,1.3908,4
EURUSD,20140313,014500,1.3908,1.3908,1.3907,1.3907,4
EURUSD,20140313,014600,1.3907,1.3907,1.3907,1.3907,4
EURUSD,20140313,014700,1.3907,1.3907,1.3907,1.3907,4
EURUSD,20140313,014800,1.3907,1.3907,1.3906,1.3906,4
EURUSD,20140313,014900,1.3906,1.3906,1.3905,1.3905,4
EURUSD,20140313,015000,1.3905,1.3905,1.3904,1.3904,4
EURUSD,20140313,015100,1.3905,1.3906,1.3905,1.3906,4
EURUSD,20140313,015200,1.3906,1.3906,1.3906,1.3906,4
EURUSD,20140313,015300,1.3907,1.3907,1.3907,1.3907,4
EURUSD,20140313,015400,1.3907,1.3907,1.3907,1.3907,4
EURUSD,20140313,015500,1.3908,1.3908,1.3907,1.3907,4
EURUSD,20140313,015600,1.3906,1.3906,1.3906,1.3906,4
EURUSD,20140313,015700,1.3906,1.3906,1.3906,1.3906,4
EURUSD,20140313,015800,1.3906,1.3906,1.3906,1.3906,4
EURUSD,20140313,015900,1.3905,1.3905,1.3905,1.3905,4
EURUSD,20140313,020000,1.3904,1.3904,1.3901,1.3901,4
EURUSD,20140313,020100,1.3902,1.3902,1.3901,1.3901,4
EURUSD,20140313,020200,1.3901,1.3901,1.3901,1.3901,4
EURUSD,20140313,020300,1.3901,1.3901,1.3899,1.3899,4
EURUSD,20140313,020400,1.3900,1.3900,1.3899,1.3899,4
EURUSD,20140313,020500,1.3899,1.3900,1.3899,1.3899,4
EURUSD,20140313,020600,1.3900,1.3900,1.3900,1.3900,4
EURUSD,20140313,020700,1.3900,1.3900,1.3900,1.3900,4
EURUSD,20140313,020800,1.3900,1.3900,1.3900,1.3900,4
